Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,1478,1500,1460,1474,415061,0.009589041095890316,043340
2016-01-05,1462,1502,1448,1498,568936,0.016282225237449044,043340
2016-01-06,1518,1680,1504,1554,3415910,0.03738317757009346,043340
2016-01-07,1570,1586,1470,1498,797203,-0.036036036036036,043340
2016-01-08,1476,1490,1402,1480,521705,-0.012016021361815787,043340
2016-01-11,1460,1486,1434,1434,373590,-0.031081081081081097,043340
2016-01-12,1460,1464,1364,1364,677709,-0.04881450488145045,043340
2016-01-13,1366,1420,1362,1408,438681,0.032258064516129004,043340
2016-01-14,1404,1410,1372,1410,255249,0.0014204545454545858,043340
2016-01-15,1412,1426,1372,1374,334637,-0.025531914893617058,043340
2016-01-18,1360,1360,1320,1350,235143,-0.017467248908296984,043340
2016-01-19,1360,1372,1326,1326,177517,-0.01777777777777778,043340
2016-01-20,1338,1338,1222,1246,427604,-0.0603318250377074,043340
2016-01-21,1250,1280,1222,1258,227901,0.009630818619582593,043340
2016-01-22,1272,1328,1248,1272,186544,0.0111287758346581,043340
2016-01-25,1272,1316,1272,1296,101628,0.018867924528301883,043340
2016-01-26,1296,1314,1256,1262,111672,-0.026234567901234573,043340
2016-01-27,1264,1288,1232,1240,206456,-0.017432646592709933,043340
2016-01-28,1250,1264,1226,1240,137555,0.0,043340
2016-01-29,1242,1276,1226,1270,180778,0.024193548387096753,043340
2016-02-01,1282,1290,1252,1264,148877,-0.0047244094488189115,043340
2016-02-02,1264,1270,1236,1242,129065,-0.017405063291139222,043340
2016-02-03,1240,1248,1178,1186,294844,-0.04508856682769724,043340
2016-02-04,1186,1230,1178,1218,150414,0.026981450252951067,043340
2016-02-05,1230,1390,1220,1292,1503875,0.06075533661740562,043340
2016-02-11,1240,1278,1190,1244,307470,-0.037151702786377694,043340
2016-02-12,1244,1250,1166,1200,6283830,-0.03536977491961413,043340
2016-02-15,1200,1238,1200,1222,181543,0.018333333333333313,043340
2016-02-16,1236,1300,1212,1270,275540,0.03927986906710301,043340
2016-02-17,1270,1290,1230,1232,184274,-0.0299212598425197,043340
2016-02-18,1238,1280,1232,1266,172568,0.02759740259740262,043340
2016-02-19,1280,1340,1266,1300,261773,0.026856240126382325,043340
2016-02-22,1302,1314,1280,1300,140083,0.0,043340
2016-02-23,1302,1320,1276,1294,129490,-0.004615384615384577,043340
2016-02-24,1300,1300,1260,1260,167783,-0.026275115919629055,043340
2016-02-25,1268,1386,1268,1308,606760,0.03809523809523818,043340
2016-02-26,1308,1560,1296,1406,2300441,0.07492354740061158,043340
2016-02-29,1408,1500,1406,1454,744717,0.03413940256045511,043340
2016-03-02,1462,1716,1462,1622,4984212,0.11554332874828055,043340
2016-03-03,1654,1654,1542,1578,1226386,-0.027127003699136898,043340
2016-03-04,1580,1608,1526,1560,600637,-0.011406844106463865,043340
2016-03-07,1560,1560,1444,1474,957001,-0.055128205128205154,043340
