Date,Open,High,Low,Close,Volume,Change,Code
2017-07-12,13870,15262,13158,13810,2650816,,227610
2017-07-13,13810,13900,12950,13276,454033,-0.03866763215061553,227610
2017-07-14,13306,13692,12684,13246,341894,-0.0022597167821633013,227610
2017-07-17,13098,13632,12920,13246,225867,0.0,227610
2017-07-18,13366,14344,12772,13218,735910,-0.0021138456892646484,227610
2017-07-19,13396,15204,13366,14966,1632279,0.1322439098199426,227610
2017-07-20,14936,14936,13988,14076,403029,-0.059468127756247546,227610
2017-07-21,14048,14552,13988,14018,248680,-0.004120488775220199,227610
2017-07-24,14284,14640,13544,13722,227364,-0.021115708374946474,227610
2017-07-25,13810,13840,13276,13396,119162,-0.023757469756595206,227610
2017-07-26,13396,13750,13158,13246,121789,-0.011197372349955215,227610
2017-07-27,13306,13336,12892,12892,122722,-0.026725049071417817,227610
2017-07-28,12832,13040,12714,12892,79873,0.0,227610
2017-07-31,12892,13780,12772,13040,160901,0.011479987589202656,227610
2017-08-01,13336,13396,12862,12862,92743,-0.013650306748466234,227610
2017-08-02,12862,13040,12566,12684,68505,-0.013839216296065882,227610
2017-08-03,12684,12802,11972,12120,64690,-0.04446546830652787,227610
2017-08-04,12240,12268,11558,11676,84517,-0.036633663366336666,227610
2017-08-07,11528,13632,11528,12002,160948,0.027920520726276044,227610
2017-08-08,12210,12506,11972,12476,78530,0.039493417763706073,227610
2017-08-09,12298,12566,12120,12210,31360,-0.021320936197499196,227610
2017-08-10,11972,12180,11706,11972,32643,-0.019492219492219465,227610
2017-08-11,11824,12092,11468,11736,39557,-0.019712662880053466,227610
2017-08-14,11676,11942,11350,11350,45840,-0.032890252215405535,227610
2017-08-16,11558,11854,11290,11794,43638,0.03911894273127747,227610
2017-08-17,11766,11854,11440,11854,21194,0.0050873325419704685,227610
2017-08-18,11824,11854,11528,11736,12948,-0.009954445756706565,227610
2017-08-21,11736,11794,11440,11440,27509,-0.025221540558963862,227610
2017-08-22,11410,11468,11262,11290,19537,-0.013111888111888126,227610
2017-08-23,11290,11646,11262,11468,22400,0.015766164747564204,227610
2017-08-24,11498,13040,11468,11942,145752,0.04133240320892928,227610
2017-08-25,11942,11972,11528,11646,25973,-0.024786467928320177,227610
2017-08-28,11646,12180,11646,12180,40733,0.04585265327150956,227610
2017-08-29,12180,12180,11794,12092,17354,-0.007224958949096916,227610
2017-08-30,12092,12240,11884,11884,37240,-0.017201455507773744,227610
2017-08-31,11884,12002,11766,11766,14739,-0.009929316728374271,227610
2017-09-01,11942,11942,11410,11410,53213,-0.03025667176610569,227610
2017-09-04,11262,11380,11024,11024,78273,-0.03382997370727436,227610
2017-09-05,11202,11262,10698,10788,61764,-0.021407837445573286,227610
2017-09-06,10906,10906,10610,10668,47122,-0.011123470522803158,227610
2017-09-07,10698,10936,10580,10758,36397,0.00843644544431954,227610
2017-09-08,10758,10758,10284,10284,66810,-0.04406023424428329,227610
2017-09-11,10432,10638,10254,10402,44833,0.011474134577985184,227610
2017-09-12,10462,10936,10342,10550,66124,0.014228033070563306,227610
2017-09-13,10638,10638,10046,10136,34746,-0.039241706161137424,227610
2017-09-14,10224,10254,10016,10106,21397,-0.0029597474348855846,227610
2017-09-15,10254,10402,10136,10254,28178,0.01464476548584992,227610
2017-09-18,10342,10402,10046,10076,29999,-0.017359079383655107,227610
2017-09-19,10106,10106,9542,9632,91662,-0.04406510520047635,227610
2017-09-20,9572,9632,9334,9364,59307,-0.027823920265780733,227610
2017-09-21,9306,9364,8950,8950,125925,-0.044211875266979894,227610
2017-09-22,8920,9128,8624,8920,67505,-0.003351955307262622,227610
2017-09-25,8920,9780,8624,8920,100748,0.0,227610
2017-09-26,8920,9454,8712,9454,66826,0.05986547085201788,227610
2017-09-27,9750,10046,9454,10046,71196,0.06261899724984143,227610
2017-09-28,10224,10432,9958,10046,50438,0.0,227610
2017-09-29,10016,11588,9986,10520,267984,0.04718295839139963,227610
2017-10-10,10638,11202,10372,10550,87334,0.002851711026615966,227610
2017-10-11,10638,10846,10254,10580,118157,0.0028436018957345155,227610
2017-10-12,10580,10788,10372,10520,84815,-0.005671077504725952,227610
2017-10-13,10580,10876,10106,10520,143663,0.0,227610
2017-10-16,10520,11558,10432,11024,194571,0.04790874524714828,227610
2017-10-17,11054,11736,10550,10788,168171,-0.021407837445573286,227610
2017-10-18,11024,11024,10224,10520,119637,-0.024842417500926972,227610
2017-10-19,10490,10520,10136,10490,104681,-0.002851711026615966,227610
2017-10-20,10490,11084,10432,10846,57461,0.033937082936129626,227610
2017-10-23,10876,10994,10846,10964,19566,0.010879586944495756,227610
2017-10-24,11114,11202,10964,10994,26070,0.0027362276541407216,227610
2017-10-25,11202,11498,11024,11024,49277,0.0027287611424413605,227610
2017-10-26,11054,11676,10994,11290,68396,0.02412917271407844,227610
2017-10-27,11588,12180,11440,12180,139119,0.07883082373782102,227610
2017-10-30,12358,13098,12298,12772,231483,0.04860426929392436,227610
2017-10-31,13040,13040,12566,12744,95342,-0.0021922956467271826,227610
2017-11-01,12744,13040,12684,12950,48010,0.016164469554299954,227610
2017-11-02,12832,14226,12714,13484,205124,0.04123552123552132,227610
2017-11-03,13632,14522,13306,13988,168446,0.03737763274992578,227610
2017-11-06,14018,14492,13870,14018,93064,0.002144695453245582,227610
2017-11-07,14018,14284,13246,13602,147644,-0.02967613068911401,227610
2017-11-08,13780,13780,13040,13454,92925,-0.010880752830466078,227610
2017-11-09,13454,13692,12862,13366,102969,-0.006540805708339481,227610
2017-11-10,13396,13514,13070,13246,92762,-0.008978003890468322,227610
2017-11-13,13246,13750,13246,13602,104555,0.02687603804922234,227610
2017-11-14,13632,13632,12832,13010,166377,-0.043523011321864424,227610
2017-11-15,12594,13276,12388,13276,139448,0.020445810914681006,227610
2017-11-16,13454,13484,12920,13040,59207,-0.01777643868635126,227610
2017-11-17,13040,14226,12920,14226,170301,0.09095092024539886,227610
2017-11-20,14226,14226,13692,13900,102854,-0.022915787993814107,227610
2017-11-21,14400,14600,12900,13150,109635,-0.0539568345323741,227610
2017-11-22,13300,13350,12450,12500,52748,-0.049429657794676785,227610
2017-11-23,12500,13350,12500,12900,94559,0.03200000000000003,227610
2017-11-24,13100,13250,12650,13200,50022,0.023255813953488413,227610
2017-11-27,13150,16600,13000,14450,981385,0.09469696969696972,227610
2017-11-28,14650,14650,13900,14350,188771,-0.00692041522491349,227610
2017-11-29,14250,15200,13900,15200,403197,0.059233449477351874,227610
2017-11-30,15200,15200,14500,14800,161125,-0.02631578947368418,227610
2017-12-01,14900,15050,14100,14900,154656,0.006756756756756799,227610
2017-12-04,14800,14950,14300,14400,64642,-0.03355704697986572,227610
2017-12-05,14450,14450,13500,13550,110780,-0.05902777777777779,227610
