Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,10764,10800,10521,10521,80296,-0.022575250836120442,038070
2016-01-05,10277,10521,10209,10418,43287,-0.009789943921680422,038070
2016-01-06,10451,11182,10451,10937,225624,0.049817623344212025,038070
2016-01-07,11251,11425,10904,11009,194749,0.00658315808722687,038070
2016-01-08,10835,11495,10627,11495,145404,0.04414569897356713,038070
2016-01-11,11461,11738,11145,11145,126814,-0.030448020878642845,038070
2016-01-12,11355,11945,11285,11495,160358,0.031404217137730006,038070
2016-01-13,11633,11667,11355,11495,106309,0.0,038070
2016-01-14,11251,11563,11217,11425,74748,-0.006089604175728569,038070
2016-01-15,11633,11633,11182,11217,83285,-0.01820568927789934,038070
2016-01-18,11145,11527,11009,11425,107330,0.018543282517607285,038070
2016-01-19,11425,11738,11321,11563,104686,0.012078774617067856,038070
2016-01-20,11704,11704,10835,10904,176504,-0.056992130070050995,038070
2016-01-21,10904,11077,10591,10695,87463,-0.01916727806309615,038070
2016-01-22,10695,11043,10695,10800,57123,0.009817671809256634,038070
2016-01-25,10800,11113,10800,10973,53480,0.016018518518518432,038070
2016-01-26,10835,11043,10660,10764,54481,-0.019046751116376548,038070
2016-01-27,10800,10937,10418,10486,67043,-0.025826830174656257,038070
2016-01-28,10418,10521,10209,10486,49899,0.0,038070
2016-01-29,10384,10660,10384,10591,39350,0.01001335113484636,038070
2016-02-01,10591,10729,10348,10486,44647,-0.009914077990746839,038070
2016-02-02,10556,10729,10348,10348,59492,-0.013160404348655397,038070
2016-02-03,10209,10451,10173,10312,59916,-0.0034789331271742885,038070
2016-02-04,10348,10418,10104,10209,51612,-0.009988363072148898,038070
2016-02-05,10173,10418,10140,10418,27641,0.020472132432167722,038070
2016-02-11,10140,10140,9584,9584,87374,-0.08005375311960072,038070
2016-02-12,9378,9686,8507,8749,123729,-0.08712437395659434,038070
2016-02-15,8820,9026,8784,8923,36085,0.019887987198536905,038070
2016-02-16,8959,9549,8959,9340,47387,0.04673316149277151,038070
2016-02-17,9479,11389,9443,9686,785670,0.03704496788008571,038070
2016-02-18,9894,10035,9618,9792,116888,0.010943629981416514,038070
2016-02-19,9723,9930,9618,9863,62153,0.007250816993463971,038070
2016-02-22,9758,10069,9686,10035,63563,0.01743891310960155,038070
2016-02-23,10140,10173,9792,9826,43943,-0.020827105132037893,038070
2016-02-24,9967,9967,9758,9758,24719,-0.00692041522491349,038070
2016-02-25,9863,10035,9654,9758,36659,0.0,038070
2016-02-26,9758,9863,9515,9686,57114,-0.007378561180569787,038070
