Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,3724,3744,3600,3650,46352,-0.0279627163781625,131090
2016-01-05,3591,3854,3586,3815,84117,0.045205479452054886,131090
2016-01-06,3799,3799,3725,3755,28515,-0.01572739187418082,131090
2016-01-07,3709,3724,3630,3695,51865,-0.015978695073235683,131090
2016-01-08,3660,3735,3580,3755,36928,0.016238159675236785,131090
2016-01-11,3695,3884,3690,3780,51044,0.0066577896138482195,131090
2016-01-12,3774,3789,3710,3735,15922,-0.011904761904761862,131090
2016-01-13,3715,3779,3680,3765,24423,0.008032128514056325,131090
2016-01-14,3734,3734,3635,3680,37028,-0.02257636122177953,131090
2016-01-15,3705,3809,3660,3705,29986,0.006793478260869623,131090
2016-01-18,3674,3674,3560,3600,31143,-0.028340080971659964,131090
2016-01-19,3579,3659,3485,3525,75498,-0.02083333333333337,131090
2016-01-20,3514,3659,3400,3500,65432,-0.007092198581560294,131090
2016-01-21,3435,3579,3390,3490,20927,-0.0028571428571428914,131090
2016-01-22,3355,3584,3355,3535,23285,0.012893982808023008,131090
2016-01-25,3555,3575,3510,3585,19754,0.014144271570014189,131090
2016-01-26,3570,3604,3485,3590,21080,0.001394700139470073,131090
2016-01-27,3554,3579,3525,3550,23669,-0.011142061281337101,131090
2016-01-28,3540,3565,3510,3570,8407,0.005633802816901401,131090
2016-01-29,3565,3599,3530,3580,6352,0.0028011204481792618,131090
2016-02-01,3599,3649,3560,3595,17926,0.0041899441340782495,131090
2016-02-02,3560,3599,3535,3580,17048,-0.004172461752433909,131090
2016-02-03,3564,3564,3440,3505,19536,-0.020949720670391025,131090
2016-02-04,3504,3559,3485,3500,9843,-0.0014265335235378318,131090
2016-02-05,3485,3689,3480,3585,23949,0.024285714285714244,131090
2016-02-11,3490,3774,3420,3620,93645,0.009762900976290068,131090
2016-02-12,3615,3640,3495,3645,74696,0.006906077348066253,131090
2016-02-15,3670,4070,3670,4075,954503,0.11796982167352543,131090
2016-02-16,4129,4169,3985,4045,460029,-0.007361963190184007,131090
2016-02-17,4034,4244,3770,3865,613343,-0.04449938195302838,131090
2016-02-18,3950,4034,3855,4025,192126,0.04139715394566634,131090
2016-02-19,4080,4140,3955,4055,319861,0.007453416149068248,131090
2016-02-22,4109,4178,3895,3920,209969,-0.03329223181257701,131090
2016-02-23,3974,3974,3765,3855,197623,-0.01658163265306123,131090
2016-02-24,3865,3975,3800,3985,67044,0.033722438391699194,131090
2016-02-25,3895,4034,3840,3915,105510,-0.017565872020075313,131090
2016-02-26,3895,3954,3860,3915,36441,0.0,131090
2016-02-29,3904,3909,3800,3875,25761,-0.010217113665389577,131090
2016-03-02,3929,4119,3835,3895,304090,0.005161290322580614,131090
2016-03-03,3909,3974,3700,3720,138907,-0.04492939666238771,131090
2016-03-04,3740,3810,3705,3810,45655,0.024193548387096753,131090
2016-03-07,3795,3879,3740,3845,51928,0.009186351706036655,131090
2016-03-08,3970,4618,3865,4115,3465667,0.07022106631989589,131090
2016-03-09,4139,4164,3975,4015,558951,-0.024301336573511523,131090
2016-03-10,4049,4074,3890,3905,410104,-0.0273972602739726,131090
2016-03-11,3884,3944,3810,3825,217031,-0.020486555697823317,131090
2016-03-14,3814,3864,3750,3780,140427,-0.0117647058823529,131090
2016-03-15,3785,3819,3740,3800,105986,0.005291005291005346,131090
2016-03-16,3784,3804,3675,3695,161444,-0.02763157894736845,131090
2016-03-17,3685,3755,3680,3755,53889,0.016238159675236785,131090
2016-03-18,3745,3809,3735,3790,55930,0.009320905459387463,131090
2016-03-21,3784,3784,3660,3695,128066,-0.02506596306068598,131090
2016-03-22,3710,3745,3655,3765,71684,0.018944519621109546,131090
2016-03-23,3745,3819,3720,3805,98201,0.010624169986719778,131090
2016-03-24,3829,3963,3735,3755,143249,-0.013140604467805517,131090
2016-03-25,3824,3934,3750,3800,136250,0.011984021304926706,131090
2016-03-28,3839,3839,3745,3755,96539,-0.011842105263157876,131090
2016-03-29,3749,3774,3640,3675,141559,-0.02130492676431428,131090
2016-03-30,3674,3704,3650,3670,59274,-0.0013605442176870541,131090
2016-03-31,3650,3685,3650,3700,44707,0.008174386920980936,131090
2016-04-01,3700,3734,3675,3705,47317,0.0013513513513514486,131090
2016-04-04,3675,3819,3675,3755,74277,0.013495276653171295,131090
2016-04-05,3934,3934,3705,3765,150989,0.0026631158455392434,131090
2016-04-06,3835,3949,3800,3895,250079,0.03452855245683928,131090
2016-04-07,3894,3929,3825,3875,103597,-0.005134788189987138,131090
2016-04-08,3870,3964,3800,3900,93695,0.006451612903225712,131090
2016-04-11,3900,3954,3870,3900,74116,0.0,131090
2016-04-12,3869,3884,3810,3825,75092,-0.019230769230769273,131090
2016-04-14,3814,3814,3685,3705,112087,-0.03137254901960784,131090
2016-04-15,3690,3924,3680,3810,63845,0.028340080971659853,131090
2016-04-18,3744,3754,3685,3720,141861,-0.023622047244094446,131090
2016-04-19,3705,3734,3675,3705,87586,-0.0040322580645161255,131090
