Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,7995,7995,7806,7843,64238,-0.011220373171961673,016600
2016-01-05,7818,7944,7755,7856,50717,0.00165752900675753,016600
2016-01-06,7944,8159,7818,7881,96541,0.0031822810590631523,016600
2016-01-07,7894,7919,7768,7793,43818,-0.011166095673137977,016600
2016-01-08,7793,8121,7503,8070,110517,0.035544719620171916,016600
2016-01-11,9458,9849,7831,7932,903922,-0.017100371747211907,016600
2016-01-12,7932,7982,7553,7553,229846,-0.04778113968734243,016600
2016-01-13,7629,7680,7440,7465,136127,-0.0116509996028068,016600
2016-01-14,7289,7352,7112,7188,114704,-0.03710649698593438,016600
2016-01-15,7251,7352,7112,7112,47785,-0.01057317751808573,016600
2016-01-18,6961,7049,6759,6910,78098,-0.028402699662542163,016600
2016-01-19,6910,7024,6746,6847,45340,-0.009117221418234456,016600
2016-01-20,6910,6923,6418,6431,108643,-0.06075653570906969,016600
2016-01-21,6431,7062,6255,6633,138269,0.03141035608770015,016600
2016-01-22,6746,6847,6582,6620,40082,-0.001959897482285533,016600
2016-01-25,6734,6746,6620,6671,27866,0.007703927492447082,016600
2016-01-26,6608,6683,6431,6519,60856,-0.022785189626742586,016600
2016-01-27,6456,6709,6431,6532,76696,0.0019941708851050066,016600
2016-01-28,6519,6633,6482,6582,24326,0.007654623392528981,016600
2016-01-29,6595,6620,6444,6545,34270,-0.005621391674263121,016600
2016-02-01,6557,6620,6469,6507,29316,-0.005805958747135187,016600
2016-02-02,6507,6532,6355,6444,64406,-0.009681881051175623,016600
2016-02-03,6431,6482,6204,6431,74105,-0.002017380509000577,016600
2016-02-04,6847,6847,6557,6633,94093,0.03141035608770015,016600
2016-02-05,6608,6772,6545,6633,53054,0.0,016600
2016-02-11,6545,6582,6318,6406,38949,-0.03422282526760134,016600
2016-02-12,6406,6482,6053,6053,92958,-0.05510458944739305,016600
2016-02-15,6179,6431,6128,6381,48386,0.05418800594746398,016600
2016-02-16,6431,6595,6406,6582,42239,0.03149976492712736,016600
2016-02-17,6582,6595,6431,6469,24832,-0.017168034032209012,016600
2016-02-18,6482,6721,6456,6570,35119,0.01561292317205143,016600
2016-02-19,6570,6671,6482,6570,26830,0.0,016600
2016-02-22,6582,6620,6444,6494,27141,-0.011567732115677298,016600
2016-02-23,6494,6545,6444,6469,20755,-0.003849707422235893,016600
2016-02-24,6418,6545,6381,6418,21088,-0.00788375328489721,016600
2016-02-25,6444,6507,6418,6469,11308,0.007946400747896432,016600
2016-02-26,6519,6519,6343,6418,43805,-0.00788375328489721,016600
2016-02-29,6456,6456,6343,6418,30031,0.0,016600
2016-03-02,6418,6469,6406,6444,37959,0.004051106263633475,016600
2016-03-03,6469,6482,6368,6406,28097,-0.005896958410924857,016600
2016-03-04,6431,6557,6381,6469,32677,0.009834530128004948,016600
2016-03-07,6469,6721,6469,6696,48191,0.035090431287679635,016600
2016-03-08,6658,6835,6608,6835,55132,0.02075866188769404,016600
2016-03-09,6885,6936,6746,6822,28746,-0.0019019751280175967,016600
2016-03-10,6797,6847,6734,6734,30932,-0.012899442978598685,016600
2016-03-11,6734,6797,6683,6746,25065,0.0017820017820018297,016600
2016-03-14,6658,6709,6557,6570,50991,-0.026089534538986103,016600
2016-03-15,6582,6671,6519,6658,41655,0.013394216133942205,016600
2016-03-16,6658,6709,6582,6620,17747,-0.0057074196455392245,016600
2016-03-17,6645,6671,6545,6608,27615,-0.0018126888217522286,016600
2016-03-18,6570,6898,6570,6784,52730,0.026634382566586012,016600
2016-03-21,6872,6961,6746,6847,79118,0.009286556603773644,016600
2016-03-22,6872,6936,6734,6885,40047,0.005549875858040121,016600
2016-03-23,6885,6898,6784,6847,32378,-0.005519244734931039,016600
2016-03-24,6809,7213,6746,7049,99944,0.02950197166642332,016600
2016-03-25,7137,7175,6961,6973,39274,-0.010781671159029615,016600
2016-03-28,7024,7024,6797,6872,56082,-0.014484439982790809,016600
2016-03-29,6910,7049,6847,7011,35064,0.020227008149010572,016600
2016-03-30,7087,7087,6973,6999,30249,-0.0017115960633290461,016600
2016-03-31,7112,7112,6948,7011,10810,0.0017145306472352573,016600
2016-04-01,7062,7856,6961,7667,401365,0.0935672514619883,016600
2016-04-04,7755,7831,7503,7717,180784,0.006521455588887504,016600
2016-04-05,7856,8449,7616,7932,400030,0.027860567578074313,016600
2016-04-06,7932,7932,7642,7654,99064,-0.035047907211296025,016600
2016-04-07,7642,7642,7377,7427,89361,-0.029657695322707123,016600
2016-04-08,7427,7579,7263,7478,43002,0.006866837215564914,016600
2016-04-11,7768,8159,7579,7982,174190,0.06739769991976474,016600
2016-04-12,7982,7982,7692,7768,61602,-0.02681032322726129,016600
2016-04-14,7780,7831,7616,7755,30674,-0.0016735324407827212,016600
2016-04-15,7743,8007,7667,7806,53329,0.006576402321083252,016600
2016-04-18,7843,8335,7629,8134,235926,0.042018959774532405,016600
2016-04-19,8222,8222,7818,7932,104544,-0.02483402999754114,016600
2016-04-20,7932,8007,7818,7907,33454,-0.0031517902168431977,016600
2016-04-21,7944,7970,7768,7831,41427,-0.009611736436069274,016600
2016-04-22,7768,8134,7717,7944,51820,0.014429830162175916,016600
2016-04-25,8007,8297,7869,7869,94721,-0.009441087613293098,016600
2016-04-26,7881,7932,7667,7755,57281,-0.014487228364468141,016600
2016-04-27,7717,7818,7692,7705,26556,-0.006447453255963853,016600
2016-04-28,7806,7831,7642,7692,39137,-0.001687216093445798,016600
2016-04-29,7654,7692,7352,7402,97937,-0.037701508060322464,016600
2016-05-02,7440,7440,7112,7188,46776,-0.028911105106727897,016600
2016-05-03,7188,7465,7125,7465,50308,0.03853644963828606,016600
2016-05-04,7465,7465,7276,7364,27081,-0.013529805760214342,016600
2016-05-09,7364,7427,7263,7263,19423,-0.013715372080391086,016600
2016-05-10,7402,7402,7226,7390,15258,0.017485887374363296,016600
2016-05-11,7465,7894,7352,7730,60241,0.046008119079837595,016600
2016-05-12,7629,7793,7503,7730,40065,0.0,016600
2016-05-13,7642,7894,7591,7680,46889,-0.0064683053040103244,016600
2016-05-16,7604,7743,7427,7478,51440,-0.02630208333333328,016600
2016-05-17,7780,7818,7465,7465,66928,-0.0017384327360256968,016600
2016-05-18,7478,7667,7352,7402,41652,-0.008439383791024824,016600
2016-05-19,7541,7604,7263,7352,32860,-0.006754931099702821,016600
