Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
393890,KR7393890009,더블유씨피,KOSDAQ GLOBAL,기술성장기업부,15970,2,-10,-0.06,15980,16620,15200,404710,6428720370,540475009680,33843144,KSQ
122640,KR7122640006,예스티,KOSDAQ,벤처기업부,25050,2,-1550,-5.83,26150,26500,24100,203434,5105786700,536533650450,21418509,KSQ
092190,KR7092190008,서울바이오시스,KOSDAQ,투자주의환기종목(소속부없음),11670,1,150,1.3,11780,12650,11100,573894,6854831805,535284029610,45868383,KSQ
200710,KR7200710002,에이디테크놀로지,KOSDAQ,중견기업부,39600,3,0,0.0,38650,42400,38350,189044,7656957425,533095477200,13462007,KSQ
042000,KR7042000000,카페24,KOSDAQ,우량기업부,21800,1,1050,5.06,20450,21850,20100,87754,1851457725,527084084200,24178169,KSQ
045100,KR7045100005,한양이엔지,KOSDAQ,우량기업부,30000,2,-600,-1.96,30450,30900,29850,71989,2171009225,525000000000,17500000,KSQ
104830,KR7104830005,원익머트리얼즈,KOSDAQ,우량기업부,41400,2,-1300,-3.04,42600,42600,40500,49478,2054518775,521971200000,12608000,KSQ
064290,KR7064290000,인텍플러스,KOSDAQ,중견기업부,40550,2,-1550,-3.68,41750,42000,38050,320299,12749291100,521633659100,12863962,KSQ
041960,KR7041960006,코미팜,KOSDAQ,벤처기업부,7050,2,-430,-5.75,7480,7480,7020,319846,2279576260,520899789750,73886495,KSQ
125490,KR7125490003,한라캐스트,KOSDAQ,벤처기업부,14190,2,-470,-3.21,14610,15620,14080,1113896,16339414990,517968374880,36502352,KSQ
389500,KR7389500000,에스비비테크,KOSDAQ,기술성장기업부,76900,1,100,0.13,78200,81900,73500,264747,20605923200,512420996800,6663472,KSQ
041190,KR7041190000,우리기술투자,KOSDAQ,우량기업부,6090,2,-20,-0.33,6120,6310,5970,969913,5918603660,511560000000,84000000,KSQ
035890,KR7035890003,서희건설,KOSDAQ,중견기업부,2170,2,-110,-4.82,2250,2255,2050,1637719,3497839042,498684351690,229808457,KSQ
030520,KR7030520001,한글과컴퓨터,KOSDAQ GLOBAL,우량기업부,20600,1,200,0.98,20650,20850,19990,171066,3480882120,498102726400,24179744,KSQ
230360,KR7230360000,에코마케팅,KOSDAQ,우량기업부,16010,1,10,0.06,16000,16080,16000,16503,264081580,496290115580,30998758,KSQ
0011T0,KR70011T0008,채비,KOSDAQ,기술성장기업부,10560,2,-300,-2.76,10830,11440,10200,492531,5230347760,495787680960,46949591,KSQ
290550,KR7290550003,디케이티,KOSDAQ,우량기업부,24550,2,-300,-1.21,24850,27600,24000,392002,10114146175,491030196500,20001230,KSQ
099190,KR7099190001,아이센스,KOSDAQ,중견기업부,17040,2,-830,-4.64,17940,18220,16990,64581,1119318990,490024545360,28757309,KSQ
060280,KR7060280005,큐렉소,KOSDAQ,중견기업부,11830,1,300,2.6,11540,12080,11420,327215,3848401600,488103315700,41259790,KSQ
025980,KR7025980004,아난티,KOSDAQ,우량기업부,4945,2,-55,-1.1,5010,5020,4780,697824,3413712983,481153395550,97300990,KSQ
452280,KR7452280001,한선엔지니어링,KOSDAQ,우량기업부,24800,2,-3150,-11.27,27400,27700,24200,233115,5905165925,477342216000,19247670,KSQ
330860,KR7330860008,네패스아크,KOSDAQ,중견기업부,39150,2,-2050,-4.98,43300,43350,35750,166800,6678001975,477005361750,12184045,KSQ
024850,KR7024850000,HLB이노베이션,KOSDAQ,중견기업부,14900,2,-800,-5.1,15860,16010,14740,217351,3282789410,473127805600,31753544,KSQ
372320,KR7372320002,큐로셀,KOSDAQ,기술성장기업부,30650,2,-900,-2.85,30900,32050,29850,76783,2365719700,466674386700,15225918,KSQ
018290,KR7018290007,브이티,KOSDAQ,우량기업부,13310,3,0,0.0,13070,13560,12920,131557,1738482585,465075863780,34941838,KSQ
455900,KR7455900001,엔젤로보틱스,KOSDAQ,기술성장기업부,30300,1,4400,16.99,28400,31700,28200,575317,17416323300,463645479300,15301831,KSQ
085910,KR7085910008,네오티스,KOSDAQ,중견기업부,33150,1,1550,4.91,32500,36300,32500,314875,10809281275,461939216700,13934818,KSQ
006910,KR7006910004,보성파워텍,KOSDAQ,우량기업부,9340,2,-140,-1.48,9480,9990,9100,1407163,13419387060,458872556160,49129824,KSQ
078160,KR7078160009,메디포스트,KOSDAQ,벤처기업부,11670,2,-650,-5.28,11990,12550,11570,191760,2264298065,457517717010,39204603,KSQ
034950,KR7034950006,한국기업평가,KOSDAQ,우량기업부,100500,2,-700,-0.69,103800,103800,100400,3403,343753400,456321657000,4540514,KSQ
340570,KR7340570001,티앤엘,KOSDAQ,우량기업부,55800,2,-300,-0.53,55600,58500,55000,40265,2257811900,453542400000,8128000,KSQ
211050,KR7211050000,인카금융서비스,KOSDAQ,우량기업부,9200,2,-360,-3.77,9450,9590,9010,171217,1572551250,453225644400,49263657,KSQ
064260,KR7064260003,다날,KOSDAQ,중견기업부,5990,2,-170,-2.76,6160,6300,5940,874725,5319658555,453116287430,75645457,KSQ
493280,KR7493280002,아이엠바이오로직스,KOSDAQ,기술성장기업부,30400,2,-1950,-6.03,32250,32250,29800,56755,1736408450,450754449600,14827449,KSQ
078350,KR7078350006,한양디지텍,KOSDAQ,우량기업부,29400,2,-2150,-6.81,31550,32950,28900,223254,6830125500,448184830800,15244382,KSQ
107640,KR7107640005,한중엔시에스,KOSDAQ,기술성장기업부,49150,2,-3650,-6.91,52300,52300,49000,105707,5257828325,445542095900,9064946,KSQ
025900,KR7025900002,동화기업,KOSDAQ GLOBAL,중견기업부,8760,2,-180,-2.01,8700,8990,8550,80851,707145440,442881816600,50557285,KSQ
025320,KR7025320003,시노펙스,KOSDAQ,우량기업부,4800,2,-180,-3.61,4890,4975,4780,403043,1947335613,442379774400,92162453,KSQ
251970,KR7251970000,펌텍코리아,KOSDAQ,우량기업부,35250,2,-1000,-2.76,35700,37300,35150,28719,1028036750,437100000000,12400000,KSQ
