Code,ISU_CD,Name,Market,Dept,Close,ChangeCode,Changes,ChagesRatio,Open,High,Low,Volume,Amount,Marcap,Stocks,MarketId
118000,KR7118000009,메타케어,KOSPI,,1340,2,-98,-6.82,1380,1429,1311,90835,122924068,23018166240,17177736,STK
009460,KR7009460007,한창제지,KOSPI,,1894,2,-64,-3.27,1958,1958,1864,35914,67952279,22602043318,11933497,STK
044380,KR7044380004,주연테크,KOSPI,,1680,2,-97,-5.46,1829,1829,1652,138329,235934894,21665810880,12896316,STK
025890,KR7025890005,한국주강,KOSPI,,1921,2,-41,-2.09,1946,1946,1883,63601,121794927,21408807336,11144616,STK
001685,KR7001681006,대상우,KOSPI,,15330,2,-100,-0.65,15220,15450,15180,7188,109897030,21005518590,1370223,STK
00499K,KR700499K014,롯데지주우,KOSPI,,25950,1,200,0.78,25500,25950,25000,1030,26267625,20905397850,805603,STK
001420,KR7001420009,태원물산,KOSPI,,2690,2,-145,-5.11,2835,2835,2670,14317,39009855,20444000000,7600000,STK
465770,KR7465770006,STX그린로지스,KOSPI,,2835,2,-245,-7.95,3080,3285,2800,58549,169759223,20329875720,7171032,STK
015020,KR7015020001,이스타코,KOSPI,,928,0,0,0.0,0,0,0,0,0,19883142400,21425800,STK
005257,KR7005252002,녹십자홀딩스2우,KOSPI,,22550,2,-250,-1.1,22450,22800,22300,850,19121950,19077074500,845990,STK
002070,KR7002070001,비비안,KOSPI,,7870,2,-60,-0.76,7930,8320,7690,24247,188248720,18922187280,2404344,STK
008600,KR7008600009,윌비스,KOSPI,,2620,0,0,0.0,0,0,0,0,0,17615839860,6723603,STK
009440,KR7009440009,KC그린홀딩스,KOSPI,,756,0,0,0.0,0,0,0,0,0,17568790596,23239141,STK
45226K,KR745226K018,한화갤러리아우,KOSPI,,5990,2,-210,-3.39,6300,6300,5990,16402,99256390,17397775300,2904470,STK
108675,KR7108671009,LX하우시스우,KOSPI,,16320,2,-450,-2.68,16770,16770,16230,3570,58281320,16847625600,1032330,STK
001770,KR7001770007,SHD,KOSPI,,13580,2,-890,-6.15,14220,14220,12910,3351,46065150,16498043240,1214878,STK
019685,KR7019681006,대교우B,KOSPI,,845,2,-6,-0.71,869,870,815,47333,39397085,16415806550,19426990,STK
011090,KR7011090008,에넥스,KOSPI,,1363,2,-51,-3.61,1399,1482,1362,81248,112573874,16353721064,11998328,STK
18064K,KR718064K016,한진칼우,KOSPI,,29700,1,300,1.02,29400,30400,28400,3363,99090350,15941950200,536766,STK
204210,KR7204210009,JK리버스톤리츠,KOSPI,,2035,0,0,0.0,0,0,0,0,0,15927568525,7826815,STK
00806K,KR700806K010,대덕1우,KOSPI,,12880,2,-520,-3.88,13530,13670,12880,10000,130769215,15615158160,1212357,STK
005725,KR7005721006,넥센우,KOSPI,,4325,1,20,0.46,4730,4730,4300,2122,9161655,15572595000,3600600,STK
00781K,KR700781K015,코리아써키트2우B,KOSPI,,19800,1,510,2.64,19200,19800,19200,2106,40775550,15517240200,783699,STK
000087,KR7000082008,하이트진로2우B,KOSPI,,13030,2,-220,-1.66,13060,13270,13010,4038,52822890,14725698140,1130138,STK
012205,KR7012201000,계양전기우,KOSPI,,12180,2,-1530,-11.16,14240,14900,11570,418389,5267590540,14239382220,1169079,STK
001795,KR7001791003,대한제당우,KOSPI,,2135,2,-65,-2.95,2200,2200,2090,46695,99868565,13840692600,6482760,STK
084695,KR7084691005,대상홀딩스우,KOSPI,,13750,1,140,1.03,13610,13820,13130,20037,270004960,12560377500,913482,STK
001755,KR7001751007,한양증권우,KOSPI,,22400,2,-1250,-5.29,23600,23600,22150,955,21591900,11760000000,525000,STK
38380K,KR738380K012,LX홀딩스1우,KOSPI,,8010,3,0,0.0,8010,8010,7880,2442,19311220,11736932850,1465285,STK
001515,KR7001511005,SK증권우,KOSPI,,5940,2,-10,-0.17,5950,6060,5940,28411,170826820,11620166580,1956257,STK
