Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,1794,1800,1700,1708,200169,-0.046875,004870
2016-01-05,1689,1747,1658,1743,127482,0.020491803278688492,004870
2016-01-06,1758,1758,1672,1708,104972,-0.02008032128514059,004870
2016-01-07,1707,1714,1656,1666,260070,-0.024590163934426257,004870
2016-01-08,1649,1733,1610,1650,222514,-0.009603841536614643,004870
2016-01-11,1628,1653,1628,1632,79598,-0.010909090909090868,004870
2016-01-12,1695,1695,1630,1661,48100,0.017769607843137303,004870
2016-01-13,1630,1719,1630,1680,124474,0.011438892233594178,004870
2016-01-14,1649,1677,1621,1645,177328,-0.02083333333333337,004870
2016-01-15,1649,1665,1635,1647,104981,0.0012158054711246535,004870
2016-01-18,1628,1651,1605,1638,218895,-0.005464480874316946,004870
2016-01-19,1621,1639,1551,1567,274650,-0.0433455433455433,004870
2016-01-20,1584,1584,1421,1432,720598,-0.08615188257817485,004870
2016-01-21,1430,1486,1430,1450,418276,0.012569832402234526,004870
2016-01-22,1500,1500,1429,1466,302529,0.011034482758620623,004870
2016-01-25,1491,1500,1454,1502,204227,0.024556616643929052,004870
2016-01-26,1498,1509,1449,1497,176501,-0.0033288948069241098,004870
2016-01-27,1494,1521,1444,1457,295270,-0.026720106880427474,004870
2016-01-28,1456,1509,1454,1488,127907,0.02127659574468077,004870
2016-01-29,1491,1491,1447,1469,188373,-0.01276881720430112,004870
2016-02-01,1498,1498,1417,1423,206722,-0.03131381892443841,004870
2016-02-02,1407,1440,1336,1420,250174,-0.0021082220660576523,004870
2016-02-03,1426,1426,1333,1350,660430,-0.04929577464788737,004870
2016-02-04,1350,1403,1350,1390,317852,0.029629629629629672,004870
2016-02-05,1387,1393,1347,1353,198378,-0.02661870503597119,004870
2016-02-11,1336,1342,1247,1297,514651,-0.041389504804138944,004870
2016-02-12,1245,1289,1161,1216,565763,-0.06245181187355431,004870
2016-02-15,1249,1254,1177,1225,410660,0.0074013157894736725,004870
2016-02-16,1249,1251,1208,1231,152009,0.004897959183673528,004870
2016-02-17,1231,1242,1196,1203,232402,-0.022745735174654724,004870
2016-02-18,1214,1289,1214,1264,237196,0.05070656691604314,004870
2016-02-19,1277,1336,1254,1311,157943,0.037183544303797555,004870
2016-02-22,1282,1389,1282,1362,211752,0.0389016018306636,004870
2016-02-23,1361,1447,1359,1420,427101,0.042584434654919345,004870
2016-02-24,1410,1454,1410,1420,151140,0.0,004870
2016-02-25,1438,1438,1378,1378,137452,-0.029577464788732355,004870
2016-02-26,1373,1468,1370,1432,231624,0.03918722786647311,004870
2016-02-29,1430,1470,1415,1469,153945,0.02583798882681565,004870
2016-03-02,1466,1508,1430,1446,142753,-0.015656909462219204,004870
2016-03-03,1444,1482,1412,1443,145868,-0.0020746887966804906,004870
2016-03-04,1433,1495,1433,1469,223516,0.018018018018018056,004870
2016-03-07,1452,1514,1452,1503,192238,0.023144996596323963,004870
