Date,Open,High,Low,Close,Volume,Change,Code
2016-01-04,158973,163690,158973,159445,13825,-0.002951531106761607,000640
2016-01-05,160388,164634,157086,162275,25825,0.01774906707642132,000640
2016-01-06,162275,186805,161804,182560,117596,0.1250038514866738,000640
2016-01-07,182560,197656,176899,187749,92198,0.028423531989482997,000640
2016-01-08,188221,196712,183503,196241,62948,0.04523060042929661,000640
2016-01-11,198128,201901,184447,186805,58206,-0.04808373377632602,000640
2016-01-12,187277,190107,179730,180201,35239,-0.03535237279516068,000640
2016-01-13,182560,193409,178786,186334,51406,0.03403421734618561,000640
2016-01-14,181145,183503,176899,179730,38496,-0.03544173366106029,000640
2016-01-15,180201,184919,176899,182088,50555,0.013119679519278948,000640
2016-01-18,182088,183975,178315,180201,41133,-0.010363121128245667,000640
2016-01-19,179258,185862,177371,183975,33665,0.02094328000399548,000640
2016-01-20,184919,187277,178315,179258,105918,-0.02563935317298549,000640
2016-01-21,179730,187277,174541,185390,51573,0.034207678318401324,000640
2016-01-22,185390,193409,181145,191523,40500,0.033081611737418415,000640
2016-01-25,194353,201901,191523,196712,39133,0.027093351712327074,000640
2016-01-26,198599,200486,193881,199543,37164,0.014391597868965711,000640
2016-01-27,201430,203788,193409,197656,31348,-0.009456608350079887,000640
2016-01-28,198128,201901,195769,199071,20111,0.007158902335370643,000640
2016-01-29,197184,203316,193881,201901,25807,0.014216033475493717,000640
2016-02-01,205675,215109,202373,203788,29473,0.009346164704483906,000640
2016-02-02,203788,203788,195769,197656,31076,-0.030090093626710113,000640
2016-02-03,198128,203788,195297,201901,14460,0.021476707006111706,000640
2016-02-04,203788,203788,191523,194825,35419,-0.03504687941119655,000640
2016-02-05,196241,197656,191051,196241,17742,0.007268061080456745,000640
2016-02-11,187277,194825,186334,187749,24070,-0.04327332208865631,000640
2016-02-12,188692,192466,167936,174069,57604,-0.07286323762044,000640
2016-02-15,177843,178786,168408,173597,34495,-0.0027115684010363683,000640
2016-02-16,175484,183975,174541,179730,42400,0.03532895153718085,000640
2016-02-17,180673,183503,177371,178786,24444,-0.005252322928837705,000640
2016-02-18,183975,197184,181145,196241,43947,0.09763068696654109,000640
2016-02-19,197656,201430,191994,193409,22288,-0.014431235063009251,000640
2016-02-22,192466,215109,192466,207562,91103,0.0731765326329179,000640
2016-02-23,207562,212751,197656,211807,56483,0.020451720449793376,000640
2016-02-24,212751,215109,199071,200486,48084,-0.05344960270434873,000640
2016-02-25,201901,223601,200958,220771,68039,0.10117913470267248,000640
2016-02-26,217940,230677,210864,225960,70047,0.023503992825144593,000640
2016-02-29,224073,230677,215581,225016,56097,-0.004177730571782612,000640
2016-03-02,227847,231149,216524,217468,50561,-0.033544281295552314,000640
2016-03-03,218411,220299,213222,214638,41937,-0.013013408869350873,000640
2016-03-04,215581,216996,207562,208505,41362,-0.028573691517811417,000640
2016-03-07,209920,209920,195297,202373,74708,-0.02940936668185412,000640
2016-03-08,201430,204260,196712,200958,31140,-0.006992039451903187,000640
2016-03-09,200958,206618,200014,204732,40501,0.018780043591198226,000640
2016-03-10,205675,208977,203788,207090,28633,0.011517496043608189,000640
2016-03-11,207562,208505,203788,204732,13512,-0.011386353759235135,000640
2016-03-14,204260,205203,201430,203316,18087,-0.006916358947306689,000640
2016-03-15,203316,214166,201901,203788,54573,0.0023215093745696525,000640
2016-03-16,206147,210864,204732,209920,46947,0.030090093626710113,000640
2016-03-17,211807,211807,205203,207562,25663,-0.011232850609756095,000640
2016-03-18,206618,212751,203788,205203,25969,-0.01136527880825966,000640
2016-03-21,205675,207090,196712,196712,30157,-0.04137853735081842,000640
2016-03-22,198128,198128,188692,193409,32063,-0.016791044776119368,000640
2016-03-23,194825,201901,193881,199543,25768,0.031715173544147435,000640
2016-03-24,200014,201430,195297,198128,13554,-0.007091203399768431,000640
2016-03-25,196241,203788,195297,198128,14616,0.0,000640
2016-03-28,198599,199071,195297,197656,15789,-0.002382298312202158,000640
2016-03-29,198128,198128,193409,195769,19903,-0.009546889545472892,000640
2016-03-30,197656,198128,193881,196241,16525,0.002411004806685435,000640
2016-03-31,196241,198128,191051,195769,23249,-0.0024052058438348567,000640
